RECORD,SPECIES,PRESENCE,CAMS,SITE,MONTH,DATE,DAY,YEAR,ORDINAL.DATE,ALL.RESTS,SEASON,WINTER.DAY,SPRING.DAY,WINT.SPR.DAY,DATE.CYCLE
1534,O,1,1,GORDON,12,09/12/2016,9,16,344,0,WINTER,9,NA,9,1
1538,O,1,1,GORDON,12,10/12/2016,10,16,345,0,WINTER,10,NA,10,1
1540,NO,0,1,GORDON,12,11/12/2016,11,16,346,0,WINTER,11,NA,11,1
1541,O,1,1,GORDON,12,12/12/2016,12,16,347,0,WINTER,12,NA,12,1
1546,NO,0,1,GORDON,12,13/12/2016,13,16,348,0,WINTER,13,NA,13,1
1547,O,1,1,GORDON,12,14/12/2016,14,16,349,0,WINTER,14,NA,14,1
1548,REST,,1,GORDON,12,15/12/2016,15,16,350,1,WINTER,15,NA,15,1
1550,O,1,1,GORDON,12,16/12/2016,16,16,351,0,WINTER,16,NA,16,1
1551,NO,0,1,GORDON,12,17/12/2016,17,16,352,0,WINTER,17,NA,17,1
1552,O,1,1,GORDON,12,18/12/2016,18,16,353,0,WINTER,18,NA,18,1
1557,NO,0,1,GORDON,12,19/12/2016,19,16,354,0,WINTER,19,NA,19,1
1558,O,1,1,GORDON,12,20/12/2016,20,16,355,0,WINTER,20,NA,20,1
1559,O,1,1,GORDON,12,21/12/2016,21,16,356,0,WINTER,21,NA,21,1
1562,O,1,1,GORDON,12,22/12/2016,22,16,357,0,WINTER,22,NA,22,1
1564,O,1,1,GORDON,12,23/12/2016,23,16,358,0,WINTER,23,NA,23,1
1565,NO,0,1,GORDON,12,24/12/2016,24,16,359,0,WINTER,24,NA,24,1
1566,NO,0,1,GORDON,12,25/12/2016,25,16,360,0,WINTER,25,NA,25,1
1567,NO,0,1,GORDON,12,26/12/2016,26,16,361,0,WINTER,26,NA,26,1
1568,REST,,1,GORDON,12,27/12/2016,27,16,362,1,WINTER,27,NA,27,1
1574,NO,0,1,GORDON,12,28/12/2016,28,16,363,0,WINTER,28,NA,28,1
1575,NO,0,1,GORDON,12,29/12/2016,29,16,364,0,WINTER,29,NA,29,1
1576,O,1,1,GORDON,12,30/12/2016,30,16,365,0,WINTER,30,NA,30,1
1581,O,1,1,GORDON,12,31/12/2016,31,16,366,0,WINTER,31,NA,31,1
1583,NO,0,1,GORDON,1,01/01/2017,1,17,1,0,WINTER,32,NA,32,1
1584,O,1,1,GORDON,1,02/01/2017,2,17,2,0,WINTER,33,NA,33,1
1585,REST,,1,GORDON,1,03/01/2017,3,17,3,1,WINTER,34,NA,34,1
1587,NO,0,1,GORDON,1,04/01/2017,4,17,4,0,WINTER,35,NA,35,1
1588,REST,,1,GORDON,1,05/01/2017,5,17,5,1,WINTER,36,NA,36,1
1590,REST,,1,GORDON,1,06/01/2017,6,17,6,1,WINTER,37,NA,37,1
1596,REST,,1,GORDON,1,07/01/2017,7,17,7,1,WINTER,38,NA,38,1
1598,REST,,1,GORDON,1,08/01/2017,8,17,8,1,WINTER,39,NA,39,1
1601,O,1,1,GORDON,1,09/01/2017,9,17,9,0,WINTER,40,NA,40,1
1604,REST,,1,GORDON,1,10/01/2017,10,17,10,1,WINTER,41,NA,41,1
1608,O,1,1,GORDON,1,12/01/2017,12,17,12,0,WINTER,42,NA,42,1
1610,REST,,1,GORDON,1,13/01/2017,13,17,13,1,WINTER,43,NA,43,1
1612,O,1,1,GORDON,1,14/01/2017,14,17,14,0,WINTER,44,NA,44,1
1616,REST,,1,GORDON,1,15/01/2017,15,17,15,1,WINTER,45,NA,45,1
1618,REST,,1,GORDON,1,16/01/2017,16,17,16,1,WINTER,46,NA,46,1
1622,O,1,1,GORDON,1,17/01/2017,17,17,17,0,WINTER,47,NA,47,1
1624,O,1,1,GORDON,1,18/01/2017,18,17,18,0,WINTER,48,NA,48,1
1625,O,1,1,GORDON,1,19/01/2017,19,17,19,0,WINTER,49,NA,49,1
1626,O,1,1,GORDON,1,20/01/2017,20,17,20,0,WINTER,50,NA,50,1
1628,REST,,1,GORDON,1,21/01/2017,21,17,21,1,WINTER,51,NA,51,1
1630,NO,0,1,GORDON,1,22/01/2017,22,17,22,0,WINTER,52,NA,52,1
1631,O,1,1,GORDON,1,23/01/2017,23,17,23,0,WINTER,53,NA,53,1
1636,NO,0,1,GORDON,1,24/01/2017,24,17,24,0,WINTER,54,NA,54,1
1637,O,1,1,GORDON,1,25/01/2017,25,17,25,0,WINTER,55,NA,55,1
1639,O,1,1,GORDON,1,26/01/2017,26,17,26,0,WINTER,56,NA,56,1
1641,REST,,1,GORDON,1,27/01/2017,27,17,27,1,WINTER,57,NA,57,1
1643,NO,0,1,GORDON,1,28/01/2017,28,17,28,0,WINTER,58,NA,58,1
1644,NO,0,1,GORDON,1,29/01/2017,29,17,29,0,WINTER,59,NA,59,1
1645,NO,0,1,GORDON,1,30/01/2017,30,17,30,0,WINTER,60,NA,60,1
1646,REST,,1,GORDON,1,31/01/2017,31,17,31,1,WINTER,61,NA,61,1
1648,REST,,1,GORDON,2,01/02/2017,1,17,32,1,WINTER,62,NA,62,1
1651,NO,0,1,GORDON,2,02/02/2017,2,17,33,0,WINTER,63,NA,63,1
1652,O,1,1,GORDON,2,03/02/2017,3,17,34,0,WINTER,64,NA,64,1
1653,O,1,1,GORDON,2,04/02/2017,4,17,35,0,WINTER,65,NA,65,1
1657,NO,0,1,GORDON,2,05/02/2017,5,17,36,0,WINTER,66,NA,66,1
1658,NO,0,1,GORDON,2,06/02/2017,6,17,37,0,WINTER,67,NA,67,1
1659,O,1,1,GORDON,2,07/02/2017,7,17,38,0,WINTER,68,NA,68,1
1660,NO,0,1,GORDON,2,08/02/2017,8,17,39,0,WINTER,69,NA,69,1
1661,NO,0,1,GORDON,2,09/02/2017,9,17,40,0,WINTER,70,NA,70,1
1662,NO,0,1,GORDON,2,10/02/2017,10,17,41,0,WINTER,71,NA,71,1
1663,O,1,1,GORDON,2,11/02/2017,11,17,42,0,WINTER,72,NA,72,1
1666,NO,0,1,GORDON,2,12/02/2017,12,17,43,0,WINTER,73,NA,73,1
1667,NO,0,1,GORDON,2,13/02/2017,13,17,44,0,WINTER,74,NA,74,1
1668,O,1,1,GORDON,2,14/02/2017,14,17,45,0,WINTER,75,NA,75,1
1670,NO,0,1,GORDON,2,15/02/2017,15,17,46,0,WINTER,76,NA,76,1
1671,REST,,1,GORDON,2,16/02/2017,16,17,47,1,WINTER,77,NA,77,1
1673,NO,0,1,GORDON,2,17/02/2017,17,17,48,0,WINTER,78,NA,78,1
1674,NO,0,1,GORDON,2,18/02/2017,18,17,49,0,WINTER,79,NA,79,1
1675,REST,,1,GORDON,2,19/02/2017,19,17,50,1,WINTER,80,NA,80,1
1676,O,1,1,GORDON,2,20/02/2017,20,17,51,0,WINTER,81,NA,81,1
1677,NO,0,1,GORDON,2,21/02/2017,21,17,52,0,WINTER,82,NA,82,1
1678,O,1,1,GORDON,2,22/02/2017,22,17,53,0,WINTER,83,NA,83,1
1681,O,1,1,GORDON,2,23/02/2017,23,17,54,0,WINTER,84,NA,84,1
1682,NO,0,1,GORDON,2,24/02/2017,24,17,55,0,WINTER,85,NA,85,1
1683,NO,0,1,GORDON,2,25/02/2017,25,17,56,0,WINTER,86,NA,86,1
1684,NO,0,1,GORDON,2,26/02/2017,26,17,57,0,WINTER,87,NA,87,1
1685,REST,,1,GORDON,2,27/02/2017,27,17,58,1,WINTER,88,NA,88,1
1687,O,1,1,GORDON,2,28/02/2017,28,17,59,0,WINTER,89,NA,89,1
1694,O,1,1,GORDON,3,01/03/2017,1,17,60,0,SPRING,NA,1,90,1
1699,O,1,1,GORDON,3,02/03/2017,2,17,61,0,SPRING,NA,2,91,1
1700,O,1,1,GORDON,3,03/03/2017,3,17,62,0,SPRING,NA,3,92,1
1707,REST,,1,GORDON,3,04/03/2017,4,17,63,1,SPRING,NA,4,93,1
1709,O,1,1,GORDON,3,05/03/2017,5,17,64,0,SPRING,NA,5,94,1
1714,REST,,1,GORDON,3,06/03/2017,6,17,65,1,SPRING,NA,6,95,1
1716,REST,,1,GORDON,3,07/03/2017,7,17,66,1,SPRING,NA,7,96,1
1719,O,1,1,GORDON,3,08/03/2017,8,17,67,0,SPRING,NA,8,97,1
1721,O,1,1,GORDON,3,09/03/2017,9,17,68,0,SPRING,NA,9,98,1
1723,O,1,1,GORDON,3,10/03/2017,10,17,69,0,SPRING,NA,10,99,1
1727,O,1,1,GORDON,3,11/03/2017,11,17,70,0,SPRING,NA,11,100,1
1729,REST,,1,GORDON,3,12/03/2017,12,17,71,1,SPRING,NA,12,101,1
1731,O,1,1,GORDON,3,13/03/2017,13,17,72,0,SPRING,NA,13,102,1
1733,O,1,1,GORDON,3,14/03/2017,14,17,73,0,SPRING,NA,14,103,1
1734,REST,,1,GORDON,3,15/03/2017,15,17,74,1,SPRING,NA,15,104,1
1736,O,1,1,GORDON,3,17/03/2017,17,17,76,0,SPRING,NA,16,105,1
1743,O,1,1,GORDON,3,18/03/2017,18,17,77,0,SPRING,NA,17,106,1
1746,NO,0,1,GORDON,3,19/03/2017,19,17,78,0,SPRING,NA,18,107,1
1747,O,1,1,GORDON,3,20/03/2017,20,17,79,0,SPRING,NA,19,108,1
1748,NO,0,1,GORDON,3,21/03/2017,21,17,80,0,SPRING,NA,20,109,1
1749,O,1,1,GORDON,3,22/03/2017,22,17,81,0,SPRING,NA,21,110,1
1750,NO,0,1,GORDON,3,23/03/2017,23,17,82,0,SPRING,NA,22,111,1
1751,O,1,1,GORDON,3,24/03/2017,24,17,83,0,SPRING,NA,23,112,1
1752,O,1,1,GORDON,3,25/03/2017,25,17,84,0,SPRING,NA,24,113,1
1754,O,1,1,GORDON,3,26/03/2017,26,17,85,0,SPRING,NA,25,114,1
1757,O,1,1,GORDON,3,27/03/2017,27,17,86,0,SPRING,NA,26,115,1
1758,NO,0,1,GORDON,3,28/03/2017,28,17,87,0,SPRING,NA,27,116,1
1759,NO,0,1,GORDON,3,29/03/2017,29,17,88,0,SPRING,NA,28,117,1
1760,NO,0,1,GORDON,3,30/03/2017,30,17,89,0,SPRING,NA,29,118,1
1761,O,1,1,GORDON,3,31/03/2017,31,17,90,0,SPRING,NA,30,119,1
1769,NO,0,1,GORDON,4,01/04/2017,1,17,91,0,SPRING,NA,31,120,1
1770,REST,,1,GORDON,4,02/04/2017,2,17,92,1,SPRING,NA,32,121,1
1772,NO,0,1,GORDON,4,03/04/2017,3,17,93,0,SPRING,NA,33,122,1
1773,O,1,1,GORDON,4,04/04/2017,4,17,94,0,SPRING,NA,34,123,1
1776,O,1,1,GORDON,4,05/04/2017,5,17,95,0,SPRING,NA,35,124,1
1777,NO,0,1,GORDON,4,06/04/2017,6,17,96,0,SPRING,NA,36,125,1
1778,REST,,1,GORDON,4,07/04/2017,7,17,97,1,SPRING,NA,37,126,1
1781,O,1,1,GORDON,4,08/04/2017,8,17,98,0,SPRING,NA,38,127,1
1783,REST,,1,GORDON,4,09/04/2017,9,17,99,1,SPRING,NA,39,128,1
1785,REST,,1,GORDON,4,10/04/2017,10,17,100,1,SPRING,NA,40,129,1
1787,NO,0,1,GORDON,4,11/04/2017,11,17,101,0,SPRING,NA,41,130,1
1788,NO,0,1,GORDON,4,12/04/2017,12,17,102,0,SPRING,NA,42,131,1
1789,O,1,1,GORDON,4,13/04/2017,13,17,103,0,SPRING,NA,43,132,1
1790,NO,0,1,GORDON,4,14/04/2017,14,17,104,0,SPRING,NA,44,133,1
1791,O,1,1,GORDON,4,15/04/2017,15,17,105,0,SPRING,NA,45,134,1
1792,O,1,1,GORDON,4,16/04/2017,16,17,106,0,SPRING,NA,46,135,1
1793,REST,,1,GORDON,4,17/04/2017,17,17,107,1,SPRING,NA,47,136,1
1795,NO,0,1,GORDON,4,18/04/2017,18,17,108,0,SPRING,NA,48,137,1
1796,NO,0,1,GORDON,4,19/04/2017,19,17,109,0,SPRING,NA,49,138,1
1797,O,1,1,GORDON,4,20/04/2017,20,17,110,0,SPRING,NA,50,139,1
1799,REST,,1,GORDON,4,21/04/2017,21,17,111,1,SPRING,NA,51,140,1
1801,NO,0,1,GORDON,4,22/04/2017,22,17,112,0,SPRING,NA,52,141,1
1802,O,1,1,GORDON,4,23/04/2017,23,17,113,0,SPRING,NA,53,142,1
1803,O,1,1,GORDON,4,24/04/2017,24,17,114,0,SPRING,NA,54,143,1
1804,NO,0,1,GORDON,4,25/04/2017,25,17,115,0,SPRING,NA,55,144,1
